Imdb_id,Genre,Title,Description,Director,Release_date,Release_Year,Revenue,Runtime,Ratings,Votes
tt1860213,Comedy,Dirty Grandpa,"Jason Kelly is one week away from marrying his boss's uber-controlling daughter, putting him on the fast track for a partnership at the law firm. However, when the straight-laced Jason is tricked into driving his foul-mouthed grandfather, Dick, to Daytona for spring break, his pending nuptials are suddenly in jeopardy. Between riotous frat parties, bar fights, and an epic night of karaoke, Dick is on a quest to live his life to the fullest and bring Jason along for the ride.",Dan Mazer,2016-01-21,2016,6.4806514E7,102.0,5.85,38283.0
tt2025690,"Action,Drama,History",The Finest Hours,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,Craig Gillespie,2016-01-25,2016,3.9824545E7,115.5,6.55,22511.0
tt2674426,"Drama,Romance",Me Before You,"A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.",Thea Sharrock,2016-06-02,2016,1.320875375E8,108.0,7.5,57998.0
tt1712261,"Action,Crime,Drama",Triple 9,A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town.,John Hillcoat,2016-02-19,2016,1.26346485E7,115.0,5.949999999999999,24606.0
tt2404233,"Action,Adventure,Fantasy",Gods of Egypt,A common thief joins a mythical god on a quest through Egypt.,Alex Proyas,2016-02-25,2016,9.0910432E7,126.5,5.35,37435.5
tt1179933,"Drama,Horror,Mystery",10 Cloverfield Lane,"After a car accident, Michelle awakens to find herself in a mysterious bunker with two men named Howard and Emmett. Howard offers her a pair of crutches to help her remain mobile with her leg injury sustained from the car crash and tells her to get good on those before leaving the bunker. She has been given the information that there has been an alien attack and the outside world is poisoned. However, Howard and Emmett's intentions soon become questionable and Michelle is faced with a question: Is it better in here or out there?",Dan Trachtenberg,2016-03-10,2016,9.00932105E7,103.5,7.0,97752.5
tt3300542,"Action,Crime,Drama",London Has Fallen,"In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders.",Babak Najafi,2016-03-02,2016,1.340772235E8,99.0,5.85,51179.0
tt2948356,"Animation,Adventure,Comedy",Zootopia,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",Byron Howard,2016-02-11,2016,6.825220975E8,108.0,7.9,150907.0
tt3553442,"Biography,Comedy,Drama",Whiskey Tango Foxtrot,"In 2002, cable news producer Kim Barker (Tina Fey) decides to shake up her routine by taking a daring new assignment in Kabul, Afghanistan. Dislodged from her comfortable American lifestyle, Barker finds herself in the middle of an out-of-control war zone. Luckily, she meets Tanya Vanderpoel (Margot Robbie), a fellow journalist who takes the shellshocked reporter under her wing. Amid the militants, warlords and nighttime partying, Barker discovers the key to becoming a successful correspondent.",Glenn Ficarra,2016-03-04,2016,23083334,112.0,6.3,18256.0
tt3381008,"Action,Adventure,Comedy",Grimsby,"Wrongfully accused and on the run, a top MI6 assassin joins forces with his long-lost, football hooligan brother to save the world from a sinister plot.",Louis Leterrier,2016-02-24,2016,1.60214645E7,83.0,5.95,32101.0
